hz,ppm,intensity,norm_intensity,nuclei
45119.86119532603,256.30307540800993,2261529.8125,0.09118387807632354,13C
45113.83798914928,256.26886062485187,2229188.625,0.08987989575358618,13C
45107.81478297252,256.2346458416938,2194720.125,0.08849014113522925,13C
45101.79157679576,256.20043105853574,2163594.125,0.08723515463303225,13C
45095.76837061901,256.1662162753777,2137387.875,0.08617853026680464,13C
45089.74516444225,256.1320014922196,2112064.25,0.08515749294875223,13C
45083.72195826549,256.0977867090616,2081541.9375,0.0839268468585595,13C
45077.69875208873,256.06357192590355,2041494.5625,0.08231215447683932,13C
45071.675545911974,256.0293571427455,1990289.25,0.08024757900847589,13C
45065.652339735214,255.99514235958742,1929528.9375,0.07779775018187522,13C
45059.629133558454,255.96092757642938,1865454.75,0.0752143073864071,13C
45053.6059273817,255.92671279327132,1807709.8125,0.07288605714118734,13C
45047.58272120494,255.89249801011326,1763920.1875,0.07112047890076875,13C
45041.55951502818,255.85828322695522,1735074.0625,0.06995741594646405,13C
45035.53630885143,255.82406844379716,1716455.125,0.06920670865199159,13C
45029.51310267467,255.7898536606391,1701703.4375,0.06861192716072614,13C
45023.48989649791,255.75563887748106,1684985.125,0.06793785222250692,13C
45017.466690321155,255.721424094323,1661334.125,0.06698425440192407,13C
45011.443484144394,255.68720931116493,1628054.1875,0.06564242209592715,13C
45005.420277967634,255.6529945280069,1586274.4375,0.06395788112326231,13C
44999.39707179088,255.61877974484884,1539813.8125,0.062084609348583994,13C
44993.37386561412,255.58456496169077,1492823.0625,0.06018996316924472,13C
44987.35065943736,255.55035017853274,1449722.375,0.058452162582985266,13C
44981.32745326061,255.51613539537468,1415820.125,0.05708523891325229,13C
44975.30424708385,255.4819206122166,1394128.3125,0.05621063466292496,13C
44969.28104090709,255.44770582905858,1380294.0625,0.055652843844380365,13C
44963.257834730335,255.4134910459005,1363182.8125,0.05496292584059836,13C
44957.234628553575,255.37927626274245,1332565.1875,0.05372843679271781,13C
44951.211422376815,255.34506147958442,1285875.0,0.05184590915994946,13C
44945.18821620006,255.31084669642635,1227908.1875,0.049508713013226936,13C
44939.1650100233,255.2766319132683,1166977.4375,0.04705201222228879,13C
44933.14180384654,255.24241713011025,1112756.5625,0.044865850612627683,13C
44927.11859766978,255.2082023469522,1074106.875,0.0433075123704304,13C
44921.09539149303,255.17398756379416,1054032.6875,0.04249813004198884,13C
44915.07218531627,255.1397727806361,1046460.75,0.04219283288340825,13C
44909.04897913951,255.10555799747803,1041124.4375,0.04197767513236394,13C
44903.025772962756,255.07134321432,1032554.25,0.04163212897693768,13C
44897.002566785995,255.03712843116193,1022354.875,0.041220894704758614,13C
44890.979360609235,255.00291364800387,1012619.25,0.040828358626706446,13C
44884.95615443248,254.96869886484583,1000451.3125,0.04033775278843372,13C
44878.93294825572,254.93448408168777,981280.0625,0.039564776499150016,13C
44872.90974207896,254.9002692985297,955811.25,0.03853788528555088,13C
44866.88653590221,254.86605451537167,930745.25,0.037527235293130706,13C
44860.86332972545,254.8318397322136,912147.0625,0.036777364629446675,13C
44854.84012354869,254.79762494905555,899380.625,0.03626262753686678,13C
44848.816917371936,254.7634101658975,886063.0625,0.035725669328948474,13C
44842.793711195176,254.72919538273945,866569.8125,0.034939710142610624,13C
44836.770505018416,254.69498059958138,841580.5625,0.03393215467611873,13C
44830.74729884166,254.66076581642335,817528.625,0.032962391233524554,13C
44824.7240926649,254.6265510332653,800550.75,0.032277850850533224,13C
44818.70088648814,254.59233625010722,790987.8125,0.031892277455819684,13C
44812.67768031139,254.5581214669492,784027.75,0.031611650825608684,13C
44806.65447413463,254.52390668379113,775061.875,0.03125015072584046,13C
44800.63126795787,254.48969190063306,762897.125,0.030759673406152703,13C
44794.60806178112,254.45547711747503,747726.625,0.030148005580811193,13C
44788.58485560436,254.42126233431696,728479.125,0.029371954925377246,13C
44782.5616494276,254.3870475511589,704329.125,0.028398237646316077,13C
44776.538443250836,254.35283276800087,677862.25,0.027331104995788044,13C
44770.51523707408,254.3186179848428,654411.1875,0.0263855685664467,13C
44764.49203089732,254.28440320168477,637813.6875,0.025716364734595036,13C
